Loan_ID,Default
L00000319,0
L00000320,0
L00000321,0
L00000322,0
L00000323,0
L00000324,0
L00000325,0
L00000326,0
L00000327,0
L00000328,0
L00000329,0
L00000330,0
L00000331,0
L00000332,1
L00000333,0
L00000334,0
L00000335,0
L00000336,0
L00000337,0
L00000338,0
L00000339,0
L00000340,0
L00000341,0
L00000342,0
L00000343,0
L00000344,0
L00000345,0
L00000346,0
L00000347,1
L00000348,1
L00000349,0
L00000350,0
L00000351,0
L00000352,0
L00000353,0
L00000354,0
L00000355,1
L00000356,0
L00000357,0
L00000358,0
L00000359,0
L00000360,0
L00000361,0
L00000362,1
L00000363,0
L00000364,1
L00000365,1
L00000366,0
L00000367,1
L00000368,0
L00000369,0
L00000370,0
L00000371,0
L00000372,0
L00000373,0
L00000374,1
L00000375,0
L00000376,0
L00000377,0
L00000378,0
L00000379,0
L00000380,0
L00000381,0
L00000382,0
L00000383,0
L00000384,0
L00000385,1
L00000386,0
L00000387,0
L00000388,0
L00000389,0
L00000390,0
L00000391,0
L00000392,0
L00000393,0
L00000394,0
L00000395,0
L00000396,0
L00000397,0
L00000398,1
L00000399,0
L00000400,0
L00000401,0
L00000402,0
L00000403,0
L00000404,0
L00000405,0
L00000406,1
L00000407,0
L00000408,0
L00000409,0
L00000410,0
L00000411,1
L00000412,0
L00000413,0
L00000414,0
L00000415,0
L00000416,0
L00000417,0
L00000418,0
L00000419,0
L00000420,0
L00000421,0
L00000422,0
L00000423,0
L00000424,1
L00000425,0
L00000426,0
L00000427,1
L00000428,0
L00000429,0
L00000430,0
L00000431,1
L00000432,0
L00000433,0
L00000434,0
L00000435,0
L00000436,0
L00000437,0
L00000438,0
L00000439,0
L00000440,0
L00000441,0
L00000442,0
L00000443,0
L00000444,0
L00000445,0
L00000446,0
L00000447,0
L00000448,0
L00000449,0
L00000450,0
L00000451,0
L00000452,0
L00000453,0
L00000454,1
L00000455,0
L00000456,0
L00000457,0
L00000458,1
L00000459,0
L00000460,0
L00000461,0
L00000462,0
L00000463,0
L00000464,0
L00000465,0
L00000466,0
L00000467,0
L00000468,0
L00000469,0
L00000470,0
L00000471,0
L00000472,0
L00000473,0
L00000474,0
L00000475,0
L00000476,0
L00000477,0
L00000478,0
L00000479,0
L00000480,0
L00000481,0
L00000482,1
L00000483,0
L00000484,0
L00000485,0
L00000486,0
L00000487,1
L00000488,0
L00000489,0
L00000490,0
L00000491,0
L00000492,0
L00000493,0
L00000494,0
L00000495,0
L00000496,1
L00000497,1
L00000498,0
L00000499,0
L00000500,0
L00000501,0
L00000502,1
L00000503,0
L00000504,1
L00000505,0
L00000506,0
L00000507,0
L00000508,0
L00000509,0
L00000510,0
L00000511,0
L00000512,0
L00000513,0
L00000514,0
L00000515,0
L00000516,0
L00000517,0
L00000518,0
L00000519,0
L00000520,0
L00000521,0
L00000522,0
L00000523,1
L00000524,0
L00000525,0
L00000526,0
L00000527,0
L00000528,0
L00000529,0
L00000530,0
L00000531,0
L00000532,0
L00000533,0
L00000534,1
L00000535,0
L00000536,1
L00000537,0
L00000538,1
L00000539,0
L00000540,0
L00000541,0
L00000542,0
L00000543,0
L00000544,0
L00000545,0
L00000546,0
L00000547,0
L00000548,0
L00000549,0
L00000550,0
L00000551,0
L00000552,0
L00000553,0
L00000554,0
L00000555,0
L00000556,0
L00000557,0
L00000558,0
L00000559,0
L00000560,0
L00000561,0
L00000562,0
L00000563,0
L00000564,0
L00000565,0
L00000566,0
L00000567,0
L00000568,1
L00000569,1
L00000570,0
L00000571,0
L00000572,0
L00000573,1
L00000574,0
L00000575,0
L00000576,0
L00000577,0
L00000578,0
L00000579,0
L00000580,0
L00000581,0
L00000582,0
L00000583,0
L00000584,0
L00000585,0
L00000586,0
L00000587,1
L00000588,0
L00000589,0
L00000590,0
L00000591,0
L00000592,0
L00000593,0
L00000594,0
L00000595,0
L00000596,0
L00000597,0
L00000598,0
L00000599,0
L00000600,0
L00000601,0
L00000602,0
L00000603,0
L00000604,0
L00000605,0
L00000606,0
L00000607,0
L00000608,0
L00000609,0
L00000610,0
L00000611,0
L00000612,0
L00000613,0
L00000614,0
L00000615,0
L00000616,0
L00000617,1
L00000618,0
L00000619,1
L00000620,1
L00000621,0
L00000622,0
L00000623,0
L00000624,0
L00000625,0
L00000626,0
L00000627,0
L00000628,0
L00000629,0
L00000630,0
L00000631,0
L00000632,1
L00000633,0
L00000634,1
L00000635,0
L00000636,0
L00000637,0
L00000638,0
L00000639,1
L00000640,0
L00000641,0
L00000642,0
L00000643,1
L00000644,0
L00000645,0
L00000646,0
L00000647,0
L00000648,0
L00000649,0
L00000650,0
L00000651,1
L00000652,0
L00000653,1
L00000654,0
L00000655,0
L00000656,0
L00000657,1
L00000658,0
L00000659,0
L00000660,0
L00000661,0
L00000662,0
L00000663,0
L00000664,1
L00000665,0
L00000666,0
L00000667,0
L00000668,0
L00000669,0
L00000670,1
L00000671,0
L00000672,1
L00000673,0
L00000674,0
L00000675,0
L00000676,0
L00000677,1
L00000678,0
L00000679,1
L00000680,0
L00000681,0
L00000682,0
L00000683,1
L00000684,0
L00000685,1
L00000686,0
L00000687,0
L00000688,0
L00000689,0
L00000690,0
L00000691,0
L00000692,0
L00000693,0
L00000694,0
L00000695,0
L00000696,0
L00000697,0
L00000698,0
L00000699,0
L00000700,0
L00000701,0
L00000702,0
L00000703,0
L00000704,0
L00000705,0
L00000706,0
L00000707,0
L00000708,0
L00000709,0
L00000710,1
L00000711,0
L00000712,0
L00000713,0
L00000714,0
L00000715,0
L00000716,0
L00000717,0
L00000718,0
L00000719,0
L00000720,0
L00000721,0
L00000722,0
L00000723,0
L00000724,0
L00000725,0
L00000726,0
L00000727,0
L00000728,0
L00000729,0
L00000730,0
L00000731,1
L00000732,0
L00000733,0
L00000734,1
L00000735,0
L00000736,0
L00000737,0
L00000738,0
L00000739,0
L00000740,0
L00000741,0
L00000742,0
L00000743,0
L00000744,0
L00000745,0
L00000746,0
L00000747,0
L00000748,0
L00000749,0
L00000750,0
L00000751,0
L00000752,0
L00000753,0
L00000754,0
L00000755,0
L00000756,0
L00000757,0
L00000758,0
L00000759,0
L00000760,0
L00000761,0
L00000762,0
L00000763,0
L00000764,0
L00000765,0
L00000766,0
L00000767,1
L00000768,0
L00000769,0
L00000770,0
L00000771,0
L00000772,0
L00000773,0
L00000774,0
L00000775,1
L00000776,0
L00000777,0
L00000778,0
L00000779,0
L00000780,0
L00000781,0
L00000782,0
L00000783,0
L00000784,0
L00000785,0
L00000786,0
L00000787,0
L00000788,0
L00000789,0
L00000790,0
L00000791,0
L00000792,0
L00000793,0
L00000794,0
L00000795,0
L00000796,0
L00000797,0
L00000798,0
L00000799,0
L00000800,0
L00000801,0
L00000802,0
L00000803,0
L00000804,0
L00000805,0
L00000806,0
L00000807,0
L00000808,1
L00000809,0
L00000810,0
L00000811,0
L00000812,1
L00000813,0
L00000814,0
L00000815,0
L00000816,1
L00000817,0
L00000818,0
L00000819,1
L00000820,0
L00000821,1
L00000822,0
L00000823,0
L00000824,0
L00000825,0
L00000826,0
L00000827,0
L00000828,0
L00000829,0
L00000830,0
L00000831,1
L00000832,1
L00000833,0
L00000834,0
L00000835,0
L00000836,0
L00000837,1
L00000838,0
L00000839,0
L00000840,0
L00000841,0
L00000842,0
L00000843,0
L00000844,0
L00000845,0
L00000846,0
L00000847,0
L00000848,1
L00000849,0
L00000850,0
L00000851,0
L00000852,0
L00000853,1
L00000854,0
L00000855,0
L00000856,0
L00000857,0
L00000858,0
L00000859,0
L00000860,0
L00000861,0
L00000862,0
L00000863,1
L00000864,1
L00000865,0
L00000866,0
L00000867,0
L00000868,0
L00000869,0
L00000870,0
L00000871,0
L00000872,0
L00000873,0
L00000874,0
L00000875,0
L00000876,0
L00000877,0
L00000878,0
L00000879,1
L00000880,0
L00000881,0
L00000882,0
L00000883,0
L00000884,0
L00000885,0
L00000886,1
L00000887,1
L00000888,0
L00000889,0
L00000890,1
L00000891,0
L00000892,0
L00000893,0
L00000894,0
L00000895,0
L00000896,0
L00000897,0
L00000898,0
L00000899,0
L00000900,0
L00000901,0
L00000902,1
L00000903,0
L00000904,0
L00000905,0
L00000906,0
L00000907,0
L00000908,0
L00000909,0
L00000910,0
L00000911,0
L00000912,0
L00000913,0
L00000914,0
L00000915,0
L00000916,0
L00000917,0
L00000918,0
L00000919,0
L00000920,0
L00000921,0
L00000922,0
L00000923,0
L00000924,0
L00000925,1
L00000926,0
L00000927,0
L00000928,0
L00000929,1
L00000930,0
L00000931,0
L00000932,0
L00000933,0
L00000934,0
L00000935,0
L00000936,0
L00000937,1
L00000938,0
L00000939,0
L00000940,1
L00000941,0
L00000942,0
L00000943,0
L00000944,0
L00000945,0
L00000946,0
L00000947,0
L00000948,1
L00000949,0
L00000950,0
L00000951,0
L00000952,0
L00000953,0
L00000954,0
L00000955,0
L00000956,0
L00000957,0
L00000958,0
L00000959,0
L00000960,1
L00000961,0
L00000962,0
L00000963,0
L00000964,0
L00000965,0
L00000966,0
L00000967,1
L00000968,1
L00000969,0
L00000970,0
L00000971,0
L00000972,0
L00000973,0
L00000974,0
L00000975,0
L00000976,0
L00000977,1
L00000978,0
L00000979,0
L00000980,0
L00000981,0
L00000982,0
L00000983,0
L00000984,0
L00000985,0
L00000986,1
L00000987,1
L00000988,0
L00000989,1
L00000990,0
L00000991,0
L00000992,0
L00000993,0
L00000994,0
L00000995,1
L00000996,0
L00000997,0
L00000998,1
L00000999,1
L00001000,0
L00001001,0
L00001002,0
L00001003,0
L00001004,1
L00001005,0
L00001006,0
L00001007,0
L00001008,0
L00001009,0
L00001010,0
L00001011,0
L00001012,0
L00001013,0
L00001014,0
L00001015,0
L00001016,0
L00001017,0
L00001018,0
L00001019,0
L00001020,0
L00001021,0
L00001022,0
L00001023,0
L00001024,0
L00001025,1
L00001026,0
L00001027,0
L00001028,0
L00001029,0
L00001030,0
L00001031,0
L00001032,0
L00001033,0
L00001034,0
L00001035,0
L00001036,0
L00001037,0
L00001038,0
L00001039,0
L00001040,0
L00001041,1
L00001042,0
L00001043,0
L00001044,0
L00001045,0
L00001046,0
L00001047,0
L00001048,0
L00001049,0
L00001050,0
L00001051,0
L00001052,0
L00001053,0
L00001054,0
L00001055,1
L00001056,0
L00001057,0
L00001058,0
L00001059,0
L00001060,0
L00001061,0
L00001062,0
L00001063,0
L00001064,0
L00001065,1
L00001066,0
L00001067,0
L00001068,0
L00001069,0
L00001070,0
L00001071,0
L00001072,0
L00001073,0
L00001074,0
L00001075,0
L00001076,0
L00001077,0
L00001078,0
L00001079,0
L00001080,0
L00001081,0
L00001082,0
L00001083,0
L00001084,0
L00001085,0
L00001086,0
L00001087,0
L00001088,0
L00001089,0
L00001090,0
L00001091,0
L00001092,0
L00001093,1
L00001094,0
L00001095,1
L00001096,0
L00001097,0
L00001098,0
L00001099,0
L00001100,0
L00001101,0
L00001102,1
L00001103,1
L00001104,0
L00001105,0
L00001106,0
L00001107,1
L00001108,0
L00001109,0
L00001110,0
L00001111,0
L00001112,0
L00001113,0
L00001114,1
L00001115,0
L00001116,0
L00001117,0
L00001118,0
L00001119,0
L00001120,0
L00001121,0
L00001122,0
L00001123,0
L00001124,0
L00001125,0
L00001126,0
L00001127,0
L00001128,0
L00001129,1
L00001130,0
L00001131,0
L00001132,1
L00001133,1
L00001134,1
L00001135,0
L00001136,0
L00001137,0
L00001138,1
L00001139,0
L00001140,0
L00001141,0
L00001142,1
L00001143,0
L00001144,0
L00001145,0
L00001146,0
L00001147,0
L00001148,1
L00001149,1
L00001150,1
L00001151,0
L00001152,0
L00001153,0
L00001154,0
L00001155,0
L00001156,1
L00001157,0
L00001158,0
L00001159,0
L00001160,0
L00001161,0
L00001162,0
L00001163,0
L00001164,0
L00001165,0
L00001166,0
L00001167,0
L00001168,0
L00001169,0
L00001170,0
L00001171,0
L00001172,0
L00001173,0
L00001174,1
L00001175,1
L00001176,1
L00001177,0
L00001178,0
L00001179,0
L00001180,1
L00001181,0
L00001182,0
L00001183,0
L00001184,0
L00001185,1
L00001186,0
L00001187,0
L00001188,0
L00001189,0
L00001190,0
L00001191,0
L00001192,0
L00001193,1
L00001194,0
L00001195,0
L00001196,0
L00001197,0
L00001198,0
L00001199,0
L00001200,0
L00001201,0
L00001202,0
L00001203,1
L00001204,0
L00001205,0
L00001206,0
L00001207,0
L00001208,0
L00001209,0
L00001210,0
L00001211,0
L00001212,0
L00001213,1
L00001214,0
L00001215,1
L00001216,0
L00001217,0
L00001218,0
L00001219,0
L00001220,0
L00001221,0
L00001222,1
L00001223,0
L00001224,0
L00001225,1
L00001226,0
L00001227,1
L00001228,0
L00001229,0
L00001230,0
L00001231,0
L00001232,0
L00001233,0
L00001234,0
L00001235,0
L00001236,0
L00001237,0
L00001238,1
L00001239,0
L00001240,0
L00001241,0
L00001242,0
L00001243,0
L00001244,0
L00001245,1
L00001246,0
L00001247,0
L00001248,1
L00001249,0
L00001250,1
L00001251,0
L00001252,0
L00001253,0
L00001254,0
L00001255,0
L00001256,0
L00001257,0
L00001258,0
L00001259,0
L00001260,1
L00001261,0
L00001262,1
L00001263,0
L00001264,0
L00001265,1
L00001266,0
L00001267,1
L00001268,0
L00001269,1
L00001270,0
L00001271,0
L00001272,0
L00001273,0
L00001274,0
L00001275,1
L00001276,0
L00001277,0
L00001278,0
L00001279,1
L00001280,0
L00001281,0
L00001282,0
L00001283,0
L00001284,0
L00001285,1
L00001286,0
L00001287,0
L00001288,1
L00001289,0
L00001290,0
L00001291,1
L00001292,1
L00001293,0
L00001294,0
L00001295,0
L00001296,0
L00001297,0
L00001298,0
L00001299,0
L00001300,0
L00001301,0
L00001302,0
L00001303,0
L00001304,0
L00001305,0
L00001306,0
L00001307,0
L00001308,1
L00001309,0
L00001310,0
L00001311,0
L00001312,0
L00001313,0
L00001314,0
L00001315,0
L00001316,0
L00001317,0
L00001318,0
L00001319,0
L00001320,1
L00001321,0
L00001322,0
L00001323,0
L00001324,0
L00001325,0
L00001326,0
L00001327,0
L00001328,0
L00001329,0
L00001330,0
L00001331,1
L00001332,0
L00001333,0
L00001334,0
L00001335,1
L00001336,0
L00001337,1
L00001338,0
L00001339,1
L00001340,1
L00001341,1
L00001342,0
L00001343,0
L00001344,0
L00001345,1
L00001346,0
L00001347,0
L00001348,0
L00001349,0
L00001350,0
L00001351,0
L00001352,0
L00001353,0
L00001354,1
L00001355,0
L00001356,0
L00001357,0
L00001358,0
L00001359,0
L00001360,0
L00001361,0
L00001362,1
L00001363,0
L00001364,0
L00001365,0
L00001366,0
L00001367,0
L00001368,0
L00001369,0
L00001370,0
L00001371,1
L00001372,0
L00001373,0
L00001374,1
L00001375,0
L00001376,0
L00001377,0
L00001378,0
L00001379,0
L00001380,0
L00001381,0
L00001382,0
L00001383,0
L00001384,0
L00001385,1
L00001386,0
L00001387,0
L00001388,0
L00001389,0
L00001390,0
L00001391,0
L00001392,0
L00001393,0
L00001394,0
L00001395,0
L00001396,0
L00001397,0
L00001398,0
L00001399,0
L00001400,0
L00001401,0
L00001402,0
L00001403,0
L00001404,0
L00001405,0
L00001406,0
L00001407,0
L00001408,1
L00001409,1
L00001410,0
L00001411,0
L00001412,0
L00001413,0
L00001414,0
L00001415,0
L00001416,0
L00001417,0
L00001418,1
L00001419,0
L00001420,0
L00001421,0
L00001422,1
L00001423,0
L00001424,0
L00001425,0
L00001426,0
L00001427,0
L00001428,0
L00001429,0
L00001430,0
L00001431,0
L00001432,0
L00001433,1
L00001434,0
L00001435,0
L00001436,0
L00001437,0
L00001438,0
L00001439,0
L00001440,0
L00001441,0
L00001442,0
L00001443,0
L00001444,0
L00001445,0
L00001446,1
L00001447,0
L00001448,0
L00001449,0
L00001450,1
L00001451,0
L00001452,0
L00001453,1
L00001454,0
L00001455,0
L00001456,0
L00001457,0
L00001458,0
L00001459,1
L00001460,0
L00001461,0
L00001462,0
L00001463,0
L00001464,0
L00001465,0
L00001466,1
L00001467,0
L00001468,0
L00001469,0
L00001470,0
L00001471,0
L00001472,0
L00001473,0
L00001474,0
L00001475,1
L00001476,1
L00001477,0
L00001478,0
L00001479,0
L00001480,0
L00001481,0
L00001482,0
L00001483,1
L00001484,0
L00001485,0
L00001486,1
L00001487,0
L00001488,0
L00001489,1
L00001490,0
L00001491,0
L00001492,0
L00001493,0
L00001494,0
L00001495,0
L00001496,0
L00001497,0
L00001498,0
L00001499,0
L00001500,0
L00001501,1
L00001502,1
L00001503,0
L00001504,0
L00001505,0
L00001506,0
L00001507,0
L00001508,0
L00001509,1
L00001510,0
L00001511,0
L00001512,0
L00001513,0
L00001514,0
L00001515,0
L00001516,0
L00001517,0
L00001518,0
L00001519,0
L00001520,0
L00001521,0
L00001522,0
L00001523,0
L00001524,0
L00001525,0
L00001526,0
L00001527,0
L00001528,0
L00001529,1
L00001530,0
L00001531,0
L00001532,1
L00001533,0
L00001534,1
L00001535,0
L00001536,0
L00001537,0
L00001538,0
L00001539,0
L00001540,0
L00001541,0
L00001542,0
L00001543,0
L00001544,0
L00001545,0
L00001546,0
L00001547,0
L00001548,0
L00001549,0
L00001550,0
L00001551,0
L00001552,0
L00001553,0
L00001554,0
L00001555,0
L00001556,0
L00001557,1
L00001558,0
L00001559,0
L00001560,1
L00001561,0
L00001562,0
L00001563,0
L00001564,0
L00001565,0
L00001566,0
L00001567,0
L00001568,0
L00001569,1
L00001570,0
L00001571,0
L00001572,0
L00001573,0
L00001574,0
L00001575,0
L00001576,0
L00001577,0
L00001578,0
L00001579,0
L00001580,1
L00001581,0
L00001582,0
L00001583,1
L00001584,1
L00001585,0
L00001586,0
L00001587,0
L00001588,1
L00001589,0
L00001590,1
L00001591,1
L00001592,1
L00001593,0
L00001594,0
L00001595,0
L00001596,0
L00001597,0
L00001598,0
L00001599,0
L00001600,0
L00001601,0
L00001602,1
L00001603,1
L00001604,0
L00001605,0
L00001606,1
L00001607,0
L00001608,0
L00001609,0
L00001610,0
L00001611,0
L00001612,0
L00001613,0
L00001614,0
L00001615,0
L00001616,0
L00001617,0
L00001618,1
L00001619,0
L00001620,0
L00001621,0
L00001622,0
L00001623,0
L00001624,0
L00001625,0
L00001626,0
L00001627,0
L00001628,0
L00001629,0
L00001630,0
L00001631,0
L00001632,0
L00001633,0
L00001634,0
L00001635,0
L00001636,0
L00001637,0
L00001638,0
L00001639,0
L00001640,0
L00001641,0
L00001642,0
L00001643,0
L00001644,0
L00001645,1
L00001646,0
L00001647,0
L00001648,0
L00001649,1
L00001650,0
L00001651,0
L00001652,1
L00001653,1
L00001654,0
L00001655,0
L00001656,0
L00001657,0
L00001658,0
L00001659,0
L00001660,0
L00001661,0
L00001662,0
L00001663,0
L00001664,1
L00001665,0
L00001666,0
L00001667,1
L00001668,0
L00001669,0
L00001670,0
L00001671,0
L00001672,0
L00001673,0
L00001674,0
L00001675,0
L00001676,0
L00001677,0
L00001678,0
L00001679,0
L00001680,0
L00001681,0
L00001682,1
L00001683,0
L00001684,0
L00001685,0
L00001686,1
L00001687,0
L00001688,1
L00001689,0
L00001690,1
L00001691,0
L00001692,0
L00001693,0
L00001694,0
L00001695,1
L00001696,0
L00001697,0
L00001698,0
L00001699,0
L00001700,0
L00001701,0
L00001702,0
L00001703,0
L00001704,0
L00001705,0
L00001706,0
L00001707,0
L00001708,0
L00001709,0
L00001710,0
L00001711,0
L00001712,0
L00001713,0
L00001714,0
L00001715,0
L00001716,0
L00001717,1
L00001718,0
L00001719,0
L00001720,0
L00001721,0
L00001722,0
L00001723,1
L00001724,0
L00001725,0
L00001726,0
L00001727,0
L00001728,1
L00001729,0
L00001730,0
L00001731,0
L00001732,0
L00001733,0
L00001734,0
L00001735,0
L00001736,0
L00001737,1
L00001738,1
L00001739,0
L00001740,1
L00001741,1
L00001742,0
L00001743,0
L00001744,0
L00001745,0
L00001746,1
L00001747,0
L00001748,0
L00001749,0
L00001750,0
L00001751,0
L00001752,0
L00001753,0
L00001754,0
L00001755,0
L00001756,0
L00001757,0
L00001758,0
L00001759,0
L00001760,0
L00001761,0
L00001762,0
L00001763,0
L00001764,0
L00001765,0
L00001766,1
L00001767,0
L00001768,0
L00001769,0
L00001770,0
L00001771,0
L00001772,0
L00001773,0
L00001774,0
L00001775,0
L00001776,0
L00001777,0
L00001778,0
L00001779,0
L00001780,0
L00001781,1
L00001782,0
L00001783,0
L00001784,0
L00001785,0
L00001786,0
L00001787,0
L00001788,0
L00001789,1
L00001790,0
L00001791,1
L00001792,0
L00001793,0
L00001794,0
L00001795,0
L00001796,0
L00001797,1
L00001798,0
L00001799,0
L00001800,0
L00001801,0
L00001802,0
L00001803,0
L00001804,0
L00001805,0
L00001806,1
L00001807,0
L00001808,0
L00001809,0
L00001810,0
L00001811,0
L00001812,1
L00001813,0
L00001814,0
L00001815,0
L00001816,0
L00001817,0
L00001818,0
L00001819,0
L00001820,0
L00001821,1
L00001822,1
L00001823,0
L00001824,0
L00001825,0
L00001826,0
L00001827,0
L00001828,0
L00001829,0
L00001830,0
L00001831,0
L00001832,0
L00001833,0
L00001834,1
L00001835,0
L00001836,0
L00001837,0
L00001838,0
L00001839,0
L00001840,0
L00001841,0
L00001842,0
L00001843,1
L00001844,0
L00001845,0
L00001846,0
L00001847,1
L00001848,0
L00001849,0
L00001850,0
L00001851,0
L00001852,0
L00001853,0
L00001854,0
L00001855,0
L00001856,0
L00001857,0
L00001858,0
L00001859,0
L00001860,1
L00001861,1
L00001862,1
L00001863,0
L00001864,0
L00001865,0
L00001866,0
L00001867,0
L00001868,0
L00001869,0
L00001870,0
L00001871,0
L00001872,0
L00001873,0
L00001874,0
L00001875,1
L00001876,0
L00001877,0
L00001878,1
L00001879,0
L00001880,0
L00001881,1
L00001882,0
L00001883,0
L00001884,0
L00001885,0
L00001886,0
L00001887,1
L00001888,0
L00001889,0
L00001890,1
L00001891,0
L00001892,0
L00001893,1
L00001894,0
L00001895,0
L00001896,0
L00001897,0
L00001898,0
L00001899,1
L00001900,0
L00001901,0
L00001902,1
L00001903,0
L00001904,0
L00001905,0
L00001906,0
L00001907,0
L00001908,0
L00001909,0
L00001910,0
L00001911,0
L00001912,0
L00001913,1
L00001914,1
L00001915,0
L00001916,0
L00001917,1
L00001918,0
L00001919,0
L00001920,0
L00001921,0
L00001922,1
L00001923,1
L00001924,0
L00001925,1
L00001926,0
L00001927,0
L00001928,0
L00001929,0
L00001930,0
L00001931,0
L00001932,0
L00001933,0
L00001934,0
L00001935,0
L00001936,0
L00001937,0
L00001938,1
L00001939,0
L00001940,0
L00001941,0
L00001942,0
L00001943,0
L00001944,0
L00001945,0
L00001946,0
L00001947,0
L00001948,1
L00001949,0
L00001950,0
L00001951,0
L00001952,0
L00001953,0
L00001954,1
L00001955,1
L00001956,0
L00001957,0
L00001958,1
L00001959,0
L00001960,0
L00001961,0
L00001962,0
L00001963,0
L00001964,0
L00001965,0
L00001966,0
L00001967,0
L00001968,0
L00001969,0
L00001970,0
L00001971,1
L00001972,0
L00001973,0
L00001974,0
L00001975,0
L00001976,0
L00001977,0
L00001978,1
L00001979,0
L00001980,1
L00001981,0
L00001982,0
L00001983,1
L00001984,0
L00001985,0
L00001986,0
L00001987,0
L00001988,0
L00001989,0
L00001990,0
L00001991,0
L00001992,0
L00001993,0
L00001994,1
L00001995,0
L00001996,1
L00001997,0
